estado,x,y
Acre,-279,81
Alagoas,310,55
Amapá,25,280
Amazonas,-216,192
Bahia,183,23
Ceará,243,150
Espírito Santo,235,-128
Goiás,50,-43
Maranhão,140,167
Mato Grosso,-60,24
Mato Grosso do Sul,-62,-98
Minas Gerais,125,-91
Pará,15,161
Paraíba,289,100
Paraná,10,-185
Pernambuco,251,85
Piauí,180,101
Rio de Janeiro,212,-164
Rio Grande do Norte,345,140
Rio Grande do Sul,-53,-277
Rondônia,-182,58
Roraima,-147,305
Santa Catarina,1,-230
São Paulo,46,-139
Sergipe,303,30
Tocantins,80,46
